raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
539390.000000,102.840340,0.166995,0.093287
522552.000000,101.772804,0.166995,0.198660
504852.000000,103.777374,0.205095,0.151371
487926.000000,102.604057,0.205095,0.474969
471962.000000,98.999023,0.207581,0.253879
454123.000000,102.512772,0.207581,0.272024
436325.000000,104.569199,0.189316,0.270321
420352.000000,100.425697,0.189316,0.145172
403079.000000,101.791634,0.224151,0.182168
384478.000000,106.648911,0.224151,0.299852
367821.000000,103.662560,0.149343,0.161604
352418.000000,97.887497,0.149343,0.199857
336036.000000,97.085770,0.251157,0.260386
319624.000000,96.666367,0.251157,0.189056
304931.000000,91.254700,0.260710,0.220414
289677.000000,89.911331,0.260710,0.371940
272688.000000,94.558891,0.317164,0.383147
257139.000000,93.460976,0.317164,0.240304
241673.000000,92.848732,0.296945,0.314108
223867.000000,99.680908,0.296945,0.410600
206118.000000,104.038689,0.215345,0.259131
188808.000000,105.335739,0.215345,-0.013009
170500.000000,109.151794,0.169007,0.132442
150900.000000,115.180298,0.169007,0.285045
132472.000000,114.997742,0.065460,0.109971
115279.000000,110.710121,0.065460,0.041146
96164.000000,113.347878,0.115631,0.139489
77887.000000,112.032303,0.115631,0.093937
61660.000000,104.817581,0.117524,0.062228
44277.000000,103.539719,0.117524,-0.075940
26979.000000,102.467606,0.187359,0.175555
11069.000000,97.691010,0.187359,0.371095
2092673.000000,93.815590,0.257946,0.381649
2075950.000000,95.204315,0.257946,0.317771
2059143.000000,96.710251,0.264595,0.218195
2043541.000000,94.359154,0.264595,0.269526
2027027.000000,96.078339,0.286336,0.100221
2009065.000000,101.686546,0.286336,0.187314
1992363.000000,101.462883,0.204366,0.377981
1975757.000000,101.092400,0.204366,0.115852
1957813.000000,104.747314,0.204281,0.138930
1940660.000000,104.467857,0.204281,0.213440
1925048.000000,99.421509,0.187287,0.182447
1909009.000000,97.366333,0.187287,0.093363
1892144.000000,98.454163,0.243982,0.272721
1876817.000000,94.530449,0.243982,0.286979
1862370.000000,89.491508,0.292343,0.300482
1846399.000000,91.114494,0.292343,0.257306
1830992.000000,90.565140,0.307575,0.454076
1817047.000000,86.146049,0.307575,0.010888
1801556.000000,88.278191,0.364573,0.393978
1785246.000000,92.412590,0.364573,0.418148
1769605.000000,93.203156,0.295508,0.279593
1753754.000000,94.548370,0.295508,0.232862
1736541.000000,99.589043,0.270857,0.325985
1718772.000000,104.281342,0.270857,0.211457
1702665.000000,102.061920,0.183058,0.052420
1685662.000000,103.177856,0.183058,0.250500
1667203.000000,107.899719,0.180585,0.269149
1650667.000000,104.820145,0.180585,0.179673
1634007.000000,103.012856,0.185166,0.205995
1615949.000000,105.839546,0.185166,0.140506
1598665.000000,105.151649,0.162697,0.216932
1581905.000000,102.907944,0.162697,0.058664
1565048.000000,101.826393,0.200231,-0.028518
1547297.000000,103.827263,0.200231,0.316309
1530671.000000,101.653404,0.186027,0.237986
1514599.000000,98.687065,0.186027,0.268462
1496597.000000,102.749390,0.234506,0.220234
1479134.000000,103.718460,0.234506,0.224548
1462628.000000,101.558228,0.194010,0.215083
1445382.000000,102.408363,0.194010,0.166214
1427896.000000,103.547089,0.194219,0.253620
1411870.000000,99.805672,0.194219,0.249478
1396024.000000,96.855164,0.235451,0.389189
1379223.000000,97.894341,0.235451,0.253403
1362913.000000,97.143814,0.242624,0.176129
1348442.000000,91.141014,0.242624,0.332699
1332845.000000,91.050781,0.321584,0.238366
1315773.000000,95.631912,0.321584,0.234036
1300444.000000,93.529564,0.266431,0.316699
1284648.000000,93.908775,0.266431,0.495062
1266449.000000,101.560768,0.274777,0.405585
1248836.000000,104.747398,0.274777,0.163067
1231806.000000,104.868561,0.174137,0.167263
