raw21,omega_pll,Iq_ref,dbg_iq_a
1655822.000000,299.643799,0.198971,0.156594
1604514.000000,298.603760,0.198971,0.181886
1553634.000000,297.678680,0.442874,0.076227
1503249.000000,297.987915,0.442874,0.132082
1451749.000000,297.508636,0.467114,0.428371
1402153.000000,297.556183,0.467114,0.659254
1353954.000000,297.537872,0.482288,0.413393
1306101.000000,298.527283,0.482288,0.525236
1255805.000000,298.425598,0.427788,0.361985
1202505.000000,299.154694,0.427788,0.435142
1148268.000000,299.066498,0.335403,0.463385
1096903.000000,299.687500,0.335403,0.513538
1047947.000000,299.184998,0.306803,0.072203
998745.000000,300.253204,0.306803,0.346031
948382.000000,299.554871,0.293395,0.460780
896573.000000,300.220612,0.293395,0.085778
848391.000000,299.984192,0.245216,0.262899
802510.000000,301.069489,0.245216,0.371106
757642.000000,300.309662,0.149803,0.076579
710804.000000,301.264496,0.149803,0.201275
661063.000000,300.867340,0.096805,0.486155
609746.000000,300.645721,0.096805,0.033773
558785.000000,298.469940,0.352176,0.148664
508755.000000,297.617645,0.352176,0.389391
458430.000000,296.473450,0.578320,0.309317
407325.000000,297.321655,0.578320,0.345783
356496.000000,296.773865,0.575757,0.527961
308857.000000,297.891907,0.575757,0.513527
261481.000000,298.282135,0.434788,0.482250
211620.000000,299.516449,0.434788,0.202086
157619.000000,299.611176,0.289926,0.373528
102862.000000,299.869293,0.289926,0.361100
50238.000000,299.778046,0.294501,0.058717
589.000000,300.482910,0.294501,0.211568
2048449.000000,299.551666,0.251432,0.281351
1996896.000000,301.567413,0.251432,0.425579
1945294.000000,300.878265,0.116092,0.357365
1896815.000000,300.937958,0.116092,0.158880
1850405.000000,300.675293,0.152998,0.220397
1805114.000000,300.911072,0.152998,0.181356
1757334.000000,300.677216,0.125692,0.219254
1706468.000000,301.304932,0.125692,0.105897
1654721.000000,299.989258,0.178846,0.251489
1603330.000000,298.899475,0.178846,0.201406
1552463.000000,297.632019,0.431662,0.212123
1502048.000000,297.898132,0.431662,0.229429
1450715.000000,297.075073,0.530612,0.415070
1401177.000000,297.431580,0.530612,0.548070
1353051.000000,297.413818,0.492371,0.478660
1304975.000000,298.984833,0.492371,0.455908
1254270.000000,299.373413,0.294068,0.513754
1200706.000000,300.107300,0.294068,0.462681
1146521.000000,299.444580,0.276524,0.279989
1095254.000000,300.200745,0.276524,0.256347
1046212.000000,300.021667,0.202569,0.419342
996974.000000,301.020538,0.202569,0.214380
946283.000000,300.621033,0.159176,0.087691
894564.000000,300.573547,0.159176,0.213994
846455.000000,299.659119,0.251214,0.161796
800794.000000,300.172729,0.251214,0.553000
756238.000000,298.705658,0.325478,0.228677
709786.000000,299.062500,0.325478,0.180049
660272.000000,298.547943,0.350366,0.417148
609003.000000,299.037659,0.350366,0.382063
557905.000000,297.826996,0.450317,0.357670
507658.000000,297.999786,0.450317,0.432210
457219.000000,297.127472,0.537544,0.405383
406077.000000,298.124664,0.537544,0.483966
355365.000000,297.515472,0.482805,0.499099
307713.000000,298.700989,0.482805,0.445473
260250.000000,298.803284,0.359831,0.475315
210241.000000,299.778320,0.359831,0.429355
156193.000000,299.313721,0.302988,0.238986
101449.000000,299.738892,0.302988,0.279980
48967.000000,299.539093,0.325965,0.168273
2096736.000000,299.956390,0.325965,0.301515
2047218.000000,299.941376,0.265273,0.284734
1995777.000000,301.341858,0.265273,0.546809
1944066.000000,300.967499,0.127622,0.440487
1895337.000000,301.943817,0.127622,0.210105
1849041.000000,301.072449,0.111297,-0.030296
1803793.000000,301.138123,0.111297,0.103259
1756129.000000,300.299927,0.137977,0.107099
1705314.000000,300.780823,0.137977,0.189035
1653629.000000,299.316711,0.235334,0.387559
1602041.000000,298.854248,0.235334,0.206942
1551111.000000,297.636414,0.438323,0.224509
1500606.000000,298.059906,0.438323,0.422623
1449270.000000,297.303375,0.487178,0.413597
1399705.000000,298.004333,0.487178,0.472201
1351647.000000,297.881653,0.442028,0.419172
1303558.000000,299.120789,0.442028,0.461159
1252898.000000,298.610382,0.366219,0.466597
1199287.000000,299.263977,0.366219,0.458524
1145088.000000,298.852173,0.350463,0.262737
1093962.000000,299.806152,0.350463,0.472726
1045228.000000,299.021484,0.300244,0.262912
996205.000000,299.672974,0.300244,0.333115
945529.000000,299.621368,0.277916,0.213775
893518.000000,300.806763,0.277916,0.343345
845244.000000,300.417145,0.200132,0.263905
799435.000000,301.448730,0.200132,0.247470
754480.000000,300.864594,0.147783,0.128314
708022.000000,300.629944,0.147783,0.173245
657963.000000,300.965485,0.107085,0.048936
606586.000000,300.704651,0.107085,0.321837
555433.000000,298.313477,0.378808,0.200438
505240.000000,297.629242,0.378808,0.682064
454744.000000,296.428894,0.603516,0.510112
403791.000000,297.101105,0.603516,0.570284
353400.000000,296.591919,0.593632,0.595733
305996.000000,297.593323,0.593632,0.477959
258356.000000,298.272003,0.453164,0.540501
208051.000000,299.526855,0.453164,0.837199
153608.000000,299.394470,0.281651,0.325364
98883.000000,299.963928,0.281651,0.331570
46699.000000,299.429535,0.327186,0.190689
2094670.000000,299.869171,0.327186,0.371941
2045330.000000,299.246643,0.296128,0.299777
1993637.000000,301.126556,0.296128,0.390405
1941746.000000,301.282654,0.110554,0.285633
1893038.000000,302.010040,0.110554,0.152272
1846742.000000,301.275391,0.074070,0.064039
1801530.000000,301.150208,0.074070,0.059480
1753702.000000,300.733368,0.140783,0.039652
1703035.000000,300.585754,0.140783,0.111093
1651271.000000,299.205719,0.254667,0.153089
1599723.000000,298.128601,0.254667,0.281839
1548597.000000,297.546051,0.466341,0.228191
1497995.000000,297.857452,0.466341,0.473315
1446682.000000,297.401764,0.494499,0.442110
1397321.000000,298.073883,0.494499,0.570207
1349578.000000,297.534424,0.475903,0.477720
1301386.000000,298.807281,0.475903,0.543536
1250474.000000,298.286285,0.400165,0.431334
1196460.000000,299.308319,0.400165,0.499748
1142290.000000,298.839355,0.346596,0.397646
1091379.000000,299.875366,0.346596,0.653826
1042926.000000,298.802155,0.363785,0.470041
993839.000000,299.725586,0.363785,0.323047
943027.000000,299.759155,0.261514,0.386300
890919.000000,301.037201,0.261514,0.404180
842578.000000,300.726318,0.177858,0.189966
796819.000000,301.527344,0.177858,0.301884
752035.000000,300.362976,0.224796,0.180694
705534.000000,300.421722,0.224796,0.289727
